threshold,precision,recall
0.0,0.024583333333333332,1.0
0.0030139695041083354,0.024583333333333332,1.0
0.006027939008216671,0.024583333333333332,1.0
0.009041908512325007,0.024583333333333332,1.0
0.012055878016433342,0.024217118997912318,0.9830508474576272
0.015069847520541677,0.025053995680345574,0.9830508474576272
0.018083817024650013,0.026832774317201723,0.9491525423728814
0.021097786528758346,0.031549295774647886,0.9491525423728814
0.024111756032866683,0.03785271851342051,0.9322033898305084
0.02712572553697502,0.04416666666666667,0.8983050847457628
0.02712572553697502,0.04416666666666667,0.8983050847457628
0.04448984096149222,0.1007905138339921,0.864406779661017
0.06185395638600942,0.1540880503144654,0.8305084745762712
0.07921807181052663,0.2191780821917808,0.8135593220338984
0.09658218723504383,0.2670807453416149,0.7288135593220338
0.11394630265956103,0.32575757575757575,0.7288135593220338
0.13131041808407823,0.3917525773195876,0.6440677966101694
0.14867453350859544,0.45569620253164556,0.6101694915254238
0.16603864893311263,0.5,0.5932203389830508
0.18340276435762984,0.5076923076923077,0.559322033898305
0.20076687978214702,0.5087719298245614,0.4915254237288136
0.21813099520666424,0.5185185185185185,0.4745762711864407
0.23549511063118145,0.5,0.423728813559322
0.25285922605569866,0.5,0.3728813559322034
0.2702233414802159,0.5128205128205128,0.3389830508474576
0.28758745690473303,0.48484848484848486,0.2711864406779661
0.30495157232925024,0.5,0.22033898305084745
0.32231568775376745,0.5454545454545454,0.2033898305084746
0.33967980317828467,0.6111111111111112,0.1864406779661017
0.3570439186028019,0.5,0.1016949152542373
0.3570439186028019,0.5,0.1016949152542373
0.3662027942884044,0.5454545454545454,0.1016949152542373
0.37536166997400694,0.6,0.1016949152542373
0.3845205456596094,0.6666666666666666,0.06779661016949153
0.39367942134521194,0.75,0.05084745762711865
0.4028382970308145,0.75,0.05084745762711865
0.411997172716417,0.75,0.05084745762711865
0.4211560484020195,0.75,0.05084745762711865
0.430314924087622,0.75,0.05084745762711865
0.43947379977322454,1.0,0.05084745762711865
